Dataset,Modelo,Explicador,Node,Mean Fidelity,Std Fidelity,Min Fidelity,Max Fidelity
Cora,GCN,GNNExplainer,2362.0,0.3437956174214681,0.1613247795172983,0.11795622110366821,0.4847501516342163
Cora,GCN,GNNExplainer,1822.0,0.008681794007619223,0.004248289761291789,0.003131389617919922,0.013448655605316162
Cora,GCN,GNNExplainer,1733.0,0.07427290081977844,0.001196990716895575,0.07260355353355408,0.07535076141357422
Cora,GCN,GNNExplainer,2467.0,0.30865204334259033,0.040530602765686034,0.2516319751739502,0.3422245383262634
Cora,GCN,GNNExplainer,1989.0,-0.15083848436673483,0.019546294006011183,-0.17473655939102173,-0.12685832381248474
Cora,GCN,GNNExplainer,1958.0,0.00018984079360961914,1.4014402808084087e-05,0.00017899274826049805,0.00020962953567504883
Cora,GCN,GNNExplainer,1936.0,0.19565478960673013,0.009306752208335321,0.185433030128479,0.20794621109962463
Cora,GCN,GNNExplainer,1850.0,0.02340213457743327,0.0018912173415312763,0.021453917026519775,0.025963187217712402
Cora,GCN,GNNExplainer,2462.0,0.17948310325543085,0.07332102109766378,0.09623203426599503,0.2746427655220032
Cora,GCN,GNNExplainer,1812.0,0.011459688345591227,0.0006675211468632582,0.010520398616790771,0.012011051177978516
Cora,GCN,GNNExplainer,2400.0,0.02572550376256307,0.006540416711983823,0.018950939178466797,0.034566640853881836
Cora,GCN,GNNExplainer,2466.0,0.03699517250061035,0.019433769051352152,0.02282184362411499,0.06447410583496094
Cora,GCN,GNNExplainer,2621.0,0.03508450587590536,0.02332311947728944,0.00881868600845337,0.06549549102783203
Cora,GCN,GNNExplainer,2266.0,0.3362949291865031,0.11033557035315443,0.25694912672042847,0.49232542514801025
Cora,GCN,GNNExplainer,1797.0,0.38554640611012775,0.006853076514030872,0.3800147473812103,0.3952040821313858
Cora,GCN,GNNExplainer,2312.0,0.038883725802103676,0.008178661676343358,0.028036177158355713,0.04778367280960083
Cora,GCN,GNNExplainer,2140.0,0.0011761983235677083,2.729130575611076e-05,0.0011544227600097656,0.0012146830558776855
Cora,GCN,GNNExplainer,1740.0,-0.002859493096669515,0.0015696950066342794,-0.0046645402908325195,-0.0008379220962524414
Cora,GCN,GNNExplainer,1738.0,0.002678374449412028,0.0012421001940895694,0.0016921758651733398,0.00443035364151001
Cora,GCN,GNNExplainer,1803.0,0.01929539442062378,0.015209816222728217,0.0025565624237060547,0.0393638014793396
Cora,GAT,GNNExplainer,2362.0,0.019385258356730144,0.00426418350490341,0.015474796295166016,0.025316178798675537
Cora,GAT,GNNExplainer,1822.0,0.005258520444234212,0.005705827222156258,0.0002505779266357422,0.013242006301879883
Cora,GAT,GNNExplainer,1733.0,0.07502704858779907,0.0748503119337871,-0.03003305196762085,0.13876581192016602
Cora,GAT,GNNExplainer,2467.0,0.046222428480784096,0.04144471831337335,0.016486167907714844,0.1048319935798645
